minute,sh,sz
0930,0.11,0.08
0931,-0.03,-0.10
0932,0.23,0.53
0933,-1.14,-0.70
0934,-1.14,-0.70
0935,-1.14,-0.70
0936,-1.75,-0.64
0937,-1.91,-0.80
0938,-2.00,-0.87
0939,-1.74,-0.72
0940,-1.89,-1.22
0941,-2.34,-1.91
0942,-1.70,-1.21
0943,-1.62,-1.30
0944,-1.94,-1.73
0945,-2.33,-2.30
0946,-2.13,-2.33
0947,-2.00,-2.43
0948,-1.59,-2.18
0949,-1.98,-2.56
0950,-2.37,-3.21
0951,-2.66,-4.12
0952,-3.16,-4.95
0953,-3.24,-5.00
0954,-2.76,-4.37
0955,-2.51,-4.05
0956,-2.37,-3.87
0957,-2.23,-3.68
0958,-2.51,-3.85
0959,-2.84,-4.57
1000,-2.77,-4.86
1001,-3.03,-4.95
1002,-3.02,-4.96
1003,-3.18,-5.26
1004,-3.53,-5.78
1005,-3.47,-5.56
1006,-3.13,-5.13
1007,-3.02,-4.87
1008,-3.01,-4.99
1009,-2.97,-4.99
1010,-2.96,-4.87
1011,-3.02,-4.96
1012,-3.24,-5.19
1013,-3.30,-5.27
1014,-3.26,-5.27
1015,-3.30,-5.57
1016,-3.44,-5.76
1017,-3.43,-5.78
1018,-3.26,-5.54
1019,-3.32,-5.53
1020,-3.43,-5.63
1021,-3.52,-5.96
1022,-3.95,-6.27
1023,-4.05,-6.43
1024,-4.04,-6.35
1025,-4.20,-6.58
1026,-4.24,-6.73
1027,-4.38,-6.90
1028,-4.60,-6.87
1029,-4.71,-7.01
1030,-4.86,-7.08
1031,-4.96,-6.99
1032,-4.97,-7.07
1033,-5.03,-6.88
1034,-4.89,-6.75
1035,-4.84,-6.67
1036,-4.65,-6.64
1037,-4.71,-6.64
1038,-4.79,-6.76
1039,-4.92,-7.17
1040,-5.07,-7.21
1041,-5.16,-7.20
1042,-5.23,-7.35
1043,-5.35,-7.41
1044,-5.51,-7.52
1045,-5.51,-7.57
1046,-5.60,-7.49
1047,-5.44,-7.29
1048,-5.29,-7.06
1049,-5.23,-6.84
1050,-5.14,-6.68
1051,-4.89,-6.54
1052,-4.89,-6.55
1053,-5.22,-6.59
1054,-5.23,-6.58
1055,-5.21,-6.58
1056,-5.25,-6.49
1057,-5.49,-6.75
1058,-5.62,-6.84
1059,-5.74,-6.75
1100,-5.82,-6.82
1101,-5.86,-6.78
1102,-5.71,-6.60
1103,-5.61,-6.60
1104,-5.55,-6.54
1105,-5.46,-6.56
1106,-5.60,-6.52
1107,-5.56,-6.51
1108,-5.36,-6.40
1109,-5.42,-6.50
1110,-5.57,-6.20
1111,-5.47,-5.84
1112,-5.53,-6.02
1113,-5.57,-5.95
1114,-5.65,-6.02
1115,-5.88,-6.19
1116,-6.10,-6.38
1117,-6.22,-6.42
1118,-6.25,-6.36
1119,-6.30,-6.35
1120,-6.28,-6.29
1121,-6.52,-6.46
1122,-6.63,-6.60
1123,-6.65,-6.57
1124,-6.65,-6.53
1125,-6.64,-6.45
1126,-6.58,-6.26
1127,-6.64,-6.21
1128,-6.75,-6.33
1129,-6.74,-6.31
1130,-6.80,-6.34
1300,-6.76,-6.28
1301,-6.70,-6.65
1302,-6.89,-6.77
1303,-7.00,-6.88
1304,-7.02,-7.05
1305,-7.06,-7.08
1306,-7.09,-7.19
1307,-7.12,-7.29
1308,-7.09,-7.54
1309,-7.13,-7.67
1310,-7.11,-7.64
1311,-7.02,-7.66
1312,-6.95,-7.63
1313,-6.95,-7.63
1314,-6.95,-7.63
1315,-6.39,-7.41
1316,-6.29,-7.39
1317,-6.32,-7.37
1318,-5.97,-7.42
1319,-6.24,-7.44
1320,-6.28,-7.71
1321,-6.08,-7.83
1322,-6.35,-8.11
1323,-6.35,-8.06
1324,-6.42,-8.12
1325,-6.47,-8.13
1326,-6.56,-8.12
1327,-6.72,-8.16
1328,-6.74,-8.07
1329,-6.70,-8.02
1330,-6.68,-7.88
1331,-6.58,-7.88
1332,-6.84,-8.07
1333,-6.99,-8.27
1334,-6.88,-8.25
1335,-6.90,-8.24
1336,-6.67,-8.08
1337,-6.42,-7.89
1338,-6.32,-7.75
1339,-6.32,-7.81
1340,-6.18,-7.85
1341,-6.22,-7.91
1342,-6.37,-8.06
1343,-6.47,-8.19
1344,-6.55,-8.24
1345,-6.55,-8.24
1346,-6.55,-8.24
1347,-6.32,-7.75
1348,-6.25,-7.89
1349,-6.21,-7.87
1350,-6.31,-7.89
1351,-6.19,-7.78
1352,-6.08,-7.68
1353,-6.11,-7.73
1354,-6.24,-7.79
1355,-6.63,-8.15
1356,-6.61,-8.44
1357,-6.25,-8.12
1358,-6.00,-8.02
1359,-5.84,-7.73
1400,-5.51,-7.54
1401,-5.42,-7.51
1402,-5.51,-7.62
1403,-5.53,-7.69
1404,-5.45,-7.72
1405,-5.29,-7.74
1406,-5.31,-7.81
1407,-5.31,-7.79
1408,-5.29,-7.77
1409,-5.39,-7.90
1410,-5.39,-8.13
1411,-5.54,-8.27
1412,-5.13,-8.21
1413,-4.82,-8.15
1414,-4.67,-8.23
1415,-3.83,-7.89
1416,-3.25,-7.40
1417,-3.21,-7.39
1418,-3.29,-7.45
1419,-3.18,-7.46
1420,-3.17,-7.45
1421,-2.97,-7.44
1422,-2.94,-7.24
1423,-3.04,-7.51
1424,-3.01,-7.43
1425,-2.97,-7.40
1426,-2.94,-7.43
1427,-3.04,-7.72
1428,-3.77,-7.85
1429,-3.93,-7.82
1430,-3.37,-7.28
1431,-3.33,-7.28
1432,-3.26,-7.25
1433,-3.32,-7.44
1434,-3.19,-7.64
1435,-2.79,-7.38
1436,-2.21,-6.85
1437,-1.87,-6.75
1438,-1.87,-6.76
1439,-1.70,-6.92
1440,-0.84,-6.60
1441,0.18,-5.99
1442,0.45,-5.74
1443,0.52,-5.76
1444,0.53,-5.72
1445,0.64,-5.78
1446,0.79,-5.63
1447,1.08,-5.53
1448,1.11,-5.42
1449,1.49,-5.44
1450,1.45,-5.43
1451,1.87,-4.96
1452,1.83,-4.78
1453,1.83,-4.72
1454,1.71,-4.81
1455,1.79,-4.80
1456,1.62,-4.80
1457,1.32,-4.83
1458,1.68,-4.55
1459,1.82,-4.46
1500,2.71,-3.44
